total_bill,tip,gender,day,time
16.99,1.01,Female,Sun,Dinner
10.34,1.66,Male,Sun,Dinner
21.01,3.5,Male,Sun,Dinner
23.68,3.31,Male,Sun,Dinner
24.59,3.61,Female,Sun,Dinner
25.29,4.71,Male,Sun,Dinner
8.77,2,Male,Sun,Dinner
26.88,3.12,Male,Sun,Dinner
15.04,1.96,Male,Sun,Dinner
14.78,3.23,Male,Sun,Dinner
10.27,1.71,Male,Sun,Dinner
35.26,5,Female,Sun,Dinner
15.42,1.57,Male,Sun,Dinner
18.43,3,Male,Sun,Dinner
14.83,3.02,Female,Sun,Dinner
21.58,3.92,Male,Sun,Dinner
10.33,1.67,Female,Sun,Dinner
16.29,3.71,Male,Sun,Dinner
16.97,3.5,Female,Sun,Dinner
20.65,3.35,Male,Sat,Dinner
17.92,4.08,Male,Sat,Dinner
20.29,2.75,Female,Sat,Dinner
15.77,2.23,Female,Sat,Dinner
39.42,7.58,Male,Sat,Dinner
19.82,3.18,Male,Sat,Dinner
17.81,2.34,Male,Sat,Dinner
13.37,2,Male,Sat,Dinner
12.69,2,Male,Sat,Dinner
21.7,4.3,Male,Sat,Dinner
19.65,3,Female,Sat,Dinner
9.55,1.45,Male,Sat,Dinner
18.35,2.5,Male,Sat,Dinner
15.06,3,Female,Sat,Dinner
20.69,2.45,Female,Sat,Dinner
17.78,3.27,Male,Sat,Dinner
24.06,3.6,Male,Sat,Dinner
16.31,2,Male,Sat,Dinner
16.93,3.07,Female,Sat,Dinner
18.69,2.31,Male,Sat,Dinner
31.27,5,Male,Sat,Dinner
16.04,2.24,Male,Sat,Dinner
17.46,2.54,Male,Sun,Dinner
13.94,3.06,Male,Sun,Dinner
9.68,1.32,Male,Sun,Dinner
30.4,5.6,Male,Sun,Dinner
18.29,3,Male,Sun,Dinner
22.23,5,Male,Sun,Dinner
32.4,6,Male,Sun,Dinner
28.55,2.05,Male,Sun,Dinner
18.04,3,Male,Sun,Dinner
12.54,2.5,Male,Sun,Dinner
10.29,2.6,Female,Sun,Dinner
34.81,5.2,Female,Sun,Dinner
9.94,1.56,Male,Sun,Dinner
25.56,4.34,Male,Sun,Dinner
19.49,3.51,Male,Sun,Dinner
38.01,3,Male,Sat,Dinner
26.41,1.5,Female,Sat,Dinner
11.24,1.76,Male,Sat,Dinner
48.27,6.73,Male,Sat,Dinner
20.29,3.21,Male,Sat,Dinner
13.81,2,Male,Sat,Dinner
11.02,1.98,Male,Sat,Dinner
18.29,3.76,Male,Sat,Dinner
17.59,2.64,Male,Sat,Dinner
20.08,3.15,Male,Sat,Dinner
16.45,2.47,Female,Sat,Dinner
3.07,1,Female,Sat,Dinner
20.23,2.01,Male,Sat,Dinner
15.01,2.09,Male,Sat,Dinner
12.02,1.97,Male,Sat,Dinner
17.07,3,Female,Sat,Dinner
26.86,3.14,Female,Sat,Dinner
25.28,5,Female,Sat,Dinner
14.73,2.2,Female,Sat,Dinner
10.51,1.25,Male,Sat,Dinner
17.92,3.08,Male,Sat,Dinner
27.2,4,Male,Thur,Lunch
22.76,3,Male,Thur,Lunch
17.29,2.71,Male,Thur,Lunch
19.44,3,Male,Thur,Lunch
16.66,3.4,Male,Thur,Lunch
10.07,1.83,Female,Thur,Lunch
32.68,5,Male,Thur,Lunch
15.98,2.03,Male,Thur,Lunch
34.83,5.17,Female,Thur,Lunch
13.03,2,Male,Thur,Lunch
18.28,4,Male,Thur,Lunch
24.71,5.85,Male,Thur,Lunch
21.16,3,Male,Thur,Lunch
28.97,3,Male,Fri,Dinner
22.49,3.5,Male,Fri,Dinner
5.75,1,Female,Fri,Dinner
16.32,4.3,Female,Fri,Dinner
22.75,3.25,Female,Fri,Dinner
40.17,4.73,Male,Fri,Dinner
27.28,4,Male,Fri,Dinner
12.03,1.5,Male,Fri,Dinner
21.01,3,Male,Fri,Dinner
12.46,1.5,Male,Fri,Dinner
11.35,2.5,Female,Fri,Dinner
15.38,3,Female,Fri,Dinner
44.3,2.5,Female,Sat,Dinner
22.42,3.48,Female,Sat,Dinner
20.92,4.08,Female,Sat,Dinner
15.36,1.64,Male,Sat,Dinner
20.49,4.06,Male,Sat,Dinner
25.21,4.29,Male,Sat,Dinner
18.24,3.76,Male,Sat,Dinner
14.31,4,Female,Sat,Dinner
14,3,Male,Sat,Dinner
7.25,1,Female,Sat,Dinner
38.07,4,Male,Sun,Dinner
23.95,2.55,Male,Sun,Dinner
25.71,4,Female,Sun,Dinner
17.31,3.5,Female,Sun,Dinner
29.93,5.07,Male,Sun,Dinner
10.65,1.5,Female,Thur,Lunch
12.43,1.8,Female,Thur,Lunch
24.08,2.92,Female,Thur,Lunch
11.69,2.31,Male,Thur,Lunch
13.42,1.68,Female,Thur,Lunch
14.26,2.5,Male,Thur,Lunch
15.95,2,Male,Thur,Lunch
12.48,2.52,Female,Thur,Lunch
29.8,4.2,Female,Thur,Lunch
