total_bill,tip,gender,day,time,tip_percent
13.16,2.75,Female,Thur,Lunch,0.20896656534954408
10.33,1.67,Female,Sun,Dinner,0.1616650532429816
31.27,5.0,Male,Sat,Dinner,0.1598976654940838
17.29,2.71,Male,Thur,Lunch,0.156737998843262
21.01,3.5,Male,Sun,Dinner,0.16658733936220846
38.73,3.0,Male,Sat,Dinner,0.0774593338497289
21.01,3.0,Male,Fri,Dinner,0.1427891480247501
15.81,3.16,Male,Sat,Dinner,0.19987349778621127
22.67,2.0,Male,Sat,Dinner,0.08822232024702249
17.92,4.08,Male,Sat,Dinner,0.22767857142857142
28.97,3.0,Male,Fri,Dinner,0.10355540214014498
17.81,2.34,Male,Sat,Dinner,0.13138686131386862
8.77,2.0,Male,Sun,Dinner,0.22805017103762829
25.71,4.0,Female,Sun,Dinner,0.15558148580318942
16.45,2.47,Female,Sat,Dinner,0.1501519756838906
18.69,2.31,Male,Sat,Dinner,0.12359550561797752
20.45,3.0,Male,Sat,Dinner,0.1466992665036675
19.81,4.19,Female,Thur,Lunch,0.21150933871781932
13.37,2.0,Male,Sat,Dinner,0.14958863126402394
18.24,3.76,Male,Sat,Dinner,0.20614035087719298
7.74,1.44,Male,Sat,Dinner,0.18604651162790697
14.73,2.2,Female,Sat,Dinner,0.14935505770536323
17.51,3.0,Female,Sun,Dinner,0.17133066818960593
39.42,7.58,Male,Sat,Dinner,0.19228817858954844
22.82,2.18,Male,Thur,Lunch,0.09553023663453111
10.33,2.0,Female,Thur,Lunch,0.1936108422071636
27.18,2.0,Female,Sat,Dinner,0.07358351729212656
17.92,3.08,Male,Sat,Dinner,0.171875
10.09,2.0,Female,Fri,Lunch,0.19821605550049554
16.97,3.5,Female,Sun,Dinner,0.20624631703005306
10.63,2.0,Female,Sat,Dinner,0.18814675446848542
18.29,3.76,Male,Sat,Dinner,0.20557681793329688
15.69,1.5,Male,Sun,Dinner,0.09560229445506692
32.9,3.11,Male,Sun,Dinner,0.0945288753799392
11.87,1.63,Female,Thur,Lunch,0.13732097725358045
20.08,3.15,Male,Sat,Dinner,0.15687250996015936
32.83,1.17,Male,Sat,Dinner,0.03563813585135547
20.65,3.35,Male,Sat,Dinner,0.16222760290556903
16.31,2.0,Male,Sat,Dinner,0.12262415695892091
11.35,2.5,Female,Fri,Dinner,0.22026431718061676
8.58,1.92,Male,Fri,Lunch,0.22377622377622378
13.0,2.0,Female,Thur,Lunch,0.15384615384615385
24.08,2.92,Female,Thur,Lunch,0.1212624584717608
13.42,1.58,Male,Fri,Lunch,0.11773472429210134
18.28,4.0,Male,Thur,Lunch,0.2188183807439825
20.69,2.45,Female,Sat,Dinner,0.11841469308844853
14.15,2.0,Female,Thur,Lunch,0.1413427561837456
23.95,2.55,Male,Sun,Dinner,0.10647181628392484
28.44,2.56,Male,Thur,Lunch,0.090014064697609
30.4,5.6,Male,Sun,Dinner,0.18421052631578946
